CS_NORTE,80.80.7.,958 740808,cambiame,Cruz S/N,https://goo.gl/maps/cTGGdhk5XM32,CS_NORTE,958 740808,
CS_PINOS_PUENTE,80.80.80.,958 451524,cambiame,Huertos,25,https://goo.gl/maps/rNwyfxsNX7T2,CS_PINOS_PUENTE,958 451524
CS_BENALUA(RIO_FARDES),80.80.13.,958 696184,cambiame,Azucarera,2,https://goo.gl/maps/unQZH5Rp3co,CS_BENALUA(RIO_FARDES),958 696184
CS_SANTA_FE,80.80.8.,958 442487,cambiame,Calle Ronda de Sevilla S/N,https://goo.gl/maps/LgbxAjmtzTS2,CS_SANTA_FE,958 442487,
CS_SIERRA_NEVADA,80.80.2.,958 301344,cambiame,Feria S/N,https://goo.gl/maps/nBMbqw8e8X32,CS_SIERRA_NEVADA,958 301344,
CS_VALLE_DE_LECRIN,80.80.8.,958 781143,cambiame,Comandante Lazaro,64,https://goo.gl/maps/SXh9N3LNuJJ2,CS_VALLE_DE_LECRIN,958 781143
CS_VEGAS_ALTAS,80.80.4.,958 466062,cambiame,Ramon y Caja,1,https://goo.gl/maps/eGLjKwBKjFC2,CS_VEGAS_ALTAS,958 466062
CS_VEGA_TEMPLE,80.80.1.,958 574133,cambiame,C/ Granada 19 (Esq. Avda. Andalucia),Cambiame,CS_VEGA_TEMPLE,958 574133,
DROGAS CPD,80.8.1.,958 202101,cambiame,C/ San Juan de Dios,cambiame,San Juan de Dios,958 202101,
DROGAS_COIS_NORTE,80.8.2.,cambiame,cambiame,Rey Badis, S/N,Cambiame,San Juan de Dios,958 202101
DROGAS_(CARCEL_PROVINCIAL),80.8.9.,cambiame,cambiame,Cortijo Arenales, Esc.crta. COLOMERA PROVINCIAL (CARCEL ALBOLOTE),Cambiame,San Juan de Dios,958 202101
DROGAS_ALMUÑECAR,80.8.8.,cambiame,cambiame,Barriada de la Paloma, S/N,Cambiame,San Juan de Dios,958 202101
DROGAS_BAZA,80.8.3.,cambiame,cambiame,Santiago, S/N,Cambiame,San Juan de Dios,958 202101
DROGAS_GUADIX,80.8.5.,cambiame,cambiame,Benavides,1,Cambiame,San Juan de Dios,958 202101
DROGAS_LOJA,80.8.4.,cambiame,cambiame,Perez del Alamo,28,Cambiame,San Juan de Dios,958 202101
DROGAS_MOTRIL,80.8.7.,cambiame,cambiame,Cercado de la Virgen,3,Cambiame,San Juan de Dios,958 202101
DROGAS_COIS_CENTRO,80.8.8.,cambiame,cambiame,Nazaries,5,Cambiame,San Juan de Dios,958 202101
GRANJA_PROVINCIAL,80.57.2.,cambiame,cambiame,Direccion,Cambiame,SEDE,958 247500,
LAB_MA,80.22.1.,cambiame,cambiame,CORTIJO PEINADO,Cambiame,SEDE,958 247500,
CATASTRO_(APAT),80.155.48.,cambiame,cambiame,Corredera,5,Cambiame,SEDE,958 247500
RECAUDACIÓN_ALBOLOTE,80.155.1.,cambiame,cambiame,Animas,23,Cambiame,SEDE,958 247500
RECAUDACIÓN_ALHAMA,80.155.43.,cambiame,cambiame,Matadero,1,Cambiame,SEDE,958 247500
RECAUDACIÓN_BAZA,80.155.38.,cambiame,cambiame,Corredera,5,Cambiame,SEDE,958 247500
RECAUDACIÓN_ILLORA,80.155.41.,cambiame,cambiame,San Rogelio,11,Cambiame,SEDE,958 247500
RECAUDACIÓN_GUADIX,80.155.35.,cambiame,cambiame,Maria de los Angeles,1,Cambiame,SEDE,958 247500
RECAUDACIÓN_HUESCAR,80.155.37.,cambiame,cambiame,Morote,21,Cambiame,SEDE,958 247500
RECAUDACIÓN_IZNALLOZ,80.155.38.,cambiame,cambiame,Ganivet,31,Cambiame,SEDE,958 247500
RECAUDACIÓN_LA_ZUBIA,80.155.45.,cambiame,cambiame,Las Marinas, S/N,Cambiame,SEDE,958 247500
RECAUDACIÓN_LOJA,80.155.44.,cambiame,cambiame,Real,10,Cambiame,SEDE,958 247500
RECAUDACIÓN_ORGIVA,80.155.47.,cambiame,cambiame,Mulhacen,9,Cambiame,SEDE,958 247500
RECAUDACIÓN_SANTA_FE,80.155.42.,cambiame,cambiame,Real,14,Cambiame,SEDE,958 247500
OF.URBAN_BAZA,80.91.2.,cambiame,cambiame,Maestro Alonso, S/N,Cambiame,SEDE,958 247500
OF.URBAN_DURCAL,80.91.3.,cambiame,cambiame,San Ramon,2,Cambiame,SEDE,958 247500
PTO_GARCÍA_LORCA,80.20.2.,cambiame,cambiame,Reina, S/N,Cambiame,SEDE,958 247500
RS_RODRÍGUEZ_PENALVA,80.7.4.,cambiame,cambiame,Espada S/N,Cambiame,SEDE,958 247500,
RESUR,80.80.1.,cambiame,cambiame,Tortola,21,Cambiame,SEDE,958 247500
AGRON,80.80.1.,958 557301,5818,Direccion,Cambiame,CS_VEGA_TEMPLE,958 574133,
ALAMEDILLA,80.80.2.,958 392520,5819,Emigrante,1,Cambiame,CS_BENALUA(RIO_FARDES),958 696184
ALBOLOTE,80.80.3.,958 465115,5820,España,1,Cambiame,CS_VEGAS_ALTAS,958 466062
ALBONDON,80.80.4.,958 826006,5821,Constitucion,1,Cambiame,CS_ALPUJARRA,958 784439
ALBUÑAN,80.80.5.,958 661938,5822,Constitucion,1,Cambiame,CS_BENALUA(RIO_FARDES),958 696184
ALBUÑOL,80.80.8.,958 826060,5823,Direccion,ALBUÑOL,CS_COSTA,958 612800,
ALBUÑUELAS,80.80.7.,958 793031,5824,Direccion,ALBUÑUELAS,CS_VALLE_DE_LECRIN,958 781143,
ALDEIRE,80.80.8.,958 671063,5826,Direccion,ALDEIRE,CS_BENALUA(RIO_FARDES),958 696184,
ALFACAR,80.80.9.,958 543002,5827,Direccion,ALFACAR,CS_ALFACAR,958 549113,
ALGARINEJO,80.80.80.,958 31200,5828,Direccion,ALGARINEJO,CS_HUETOR_TAJAR,958 333222,
ALHAMA_DE_GRANADA,80.80.11.,958 350186,5829,Direccion,ALHAMA_DE_GRANADA,CS_HUETOR_TAJAR,958 333222,
ALHENDIN,80.80.12.,958 576154,5830,Direccion,ALHENDIN,CS_VALLE_DE_LECRIN,958 781143,
ALICUN_DE_ORTEGA,80.80.13.,958 694031,5831,Direccion,ALICUN_DE_ORTEGA,CS_BENALUA(RIO_FARDES),958 696184,
ALMEGIJAR,80.80.14.,958 764031,5832,Direccion,ALMEGIJAR,CS_ALPUJARRA,958 784439,
ALMUÑECAR,80.80.15.,958 838600,5833,Direccion,ALMUÑECAR,PROPIO,S/N,
ALQUIFE,80.80.18.,958 851001,5835,Direccion,ALQUIFE,CS_BENALUA(RIO_FARDES),958 696184,
ARENAS_DEL_REY,80.80.17.,958 359103,5836,Direccion,ARENAS_DEL_REY,CS_HUETOR_TAJAR,958 333222,
ARMILLA,80.80.18.,958 570450,5837,Direccion,ARMILLA,PROPIO,S/N,
ATARFE,80.80.19.,958 436011,5838,Direccion,ATARFE,CS_VEGAS_ALTAS,958 466062,
BAZA,80.80.20.,958 700395,5839,Direccion,BAZA,PROPIO,S/N,
BEAS_DE_GRANADA,80.80.21.,958 546206,5840,Direccion,BEAS_DE_GRANADA,CS_ALFACAR,958 549113,
BEAS_DE_GUADIX,80.80.22.,958 670035,5841,Direccion,BEAS_DE_GUADIX,CS_BENALUA(RIO_FARDES),958 696184,
BENALUA_DE_GUADIX,80.80.23.,958 676011,5843,Direccion,BENALUA_DE_GUADIX,CS_BENALUA(RIO_FARDES),958 696184,
BENALUA_DE_LAS_VILLAS,80.80.24.,958 301344,5844,Direccion,BENALUA_DE_LAS_VILLAS,CS_MONTES_ORIENTALES,958 384354,
BENAMAUREL,80.80.25.,958 733011,5845,Direccion,BENAMAUREL,CS_NORTE,958 740808,
BERCHULES,80.80.28.,958 753001,5846,Direccion,BERCHULES,CS_ALPUJARRA,958 784439,
BUBION,80.80.27.,958 763032,5847,Direccion,BUBION,CS_ALPUJARRA,958 784439,
BUSQUISTAR,80.80.28.,958 766031,5848,Direccion,BUSQUISTAR,CS_ALPUJARRA,958 784439,
CACIN,80.80.29.,958 363031,5849,Direccion,CACIN,CS_HUETOR_TAJAR,958 333222,
CADIAR,80.80.30.,958 750031,5850,Direccion,CADIAR,CS_ALPUJARRA,958 784439,
CAJAR,80.80.31.,958 501505,5851,Direccion,CAJAR,CS_SIERRA_NEVADA,958 301344,
CALICASAS,80.80.32.,958 409601,5854,Direccion,CALICASAS,CS_VEGAS_ALTAS,958 466062,
CAMPOTEJAR,80.80.33.,958 377004,5855,Direccion,CAMPOTEJAR,CS_MONTES_ORIENTALES,958 384354,
CANILES,80.80.34.,958 710903,5856,Direccion,CANILES,CS_NORTE,958 740808,
CAÑAR,80.80.35.,958 785301,5857,Direccion,CAÑAR,CS_ALPUJARRA,958 784439,
CAPILEIRA,80.80.38.,958 763051,5858,Direccion,CAPILEIRA,CS_ALPUJARRA,958 784439,
CARATAUNAS,80.80.37.,958 784420,5859,Direccion,CARATAUNAS,CS_ALPUJARRA,958 784439,
CASTARAS,80.80.38.,958 753033,5860,Direccion,CASTARAS,CS_ALPUJARRA,958 784439,
CASTILLEJAR,80.80.39.,958 737001,5862,Direccion,CASTILLEJAR,CS_NORTE,958 740808,
CASTRIL,80.80.40.,958 720001,5864,Direccion,CASTRIL,CS_NORTE,958 740808,
CENES_DE_LA_VEGA,80.80.41.,958 486001,5865,Direccion,CENES_DE_LA_VEGA,CS_SIERRA_NEVADA,958 301344,
CIJUELA,80.80.42.,958 515084,5866,Direccion,CIJUELA,CS_SANTA_FE,958 442487,
COGOLLOS_DE_GUADIX,80.80.43.,958 661601,5867,Direccion,COGOLLOS_DE_GUADIX,CS_BENALUA(RIO_FARDES),958 696184,
COGOLLOS_VEGA,80.80.44.,958 409161,5868,Direccion,COGOLLOS_VEGA,CS_ALFACAR,958 549113,
COLOMERA,80.80.45.,958 387011,5869,Direccion,COLOMERA,CS_VEGAS_ALTAS,958 466062,
CORTES_DE_BAZA,80.80.48.,958 736004,5872,Direccion,CORTES_DE_BAZA,CS_NORTE,958 740808,
GUADAHORTUNA,80.80.71.,958 383002,5102,Direccion,GUADAHORTUNA,CS_MONTES_ORIENTALES,958 384354,
GUADIX,80.80.72.,958 660250,5103,Direccion,GUADIX,PROPIO,S/N,
GUALCHOS_-_CASTELL,80.80.73.,958 656237,5105,Direccion,GUALCHOS_-_CASTELL,CS_COSTA,958 612800,
GÜEJAR_SIERRA,80.80.74.,958 470500,5106,Direccion,GÜEJAR_SIERRA,CS_SIERRA_NEVADA,958 301344,
GUEVEJAR,80.80.75.,958 428001,5107,Direccion,GUEVEJAR,CS_ALFACAR,958 549113,
HUELAGO,80.80.78.,958 678851,5110,Direccion,HUELAGO,CS_BENALUA(RIO_FARDES),958 696184,
HUENEJA,80.80.77.,958 683001,5111,Direccion,HUENEJA,CS_BENALUA(RIO_FARDES),958 696184,
HUESCAR,80.80.78.,958 740053,5112,Direccion,HUESCAR,CS_NORTE,958 740808,
HUETOR_SANTILLAN,80.80.79.,958 546446,5113,Direccion,HUETOR_SANTILLAN,CS_ALFACAR,958 549113,
HUETOR_TAJAR,80.80.80.,958 332403,5114,Direccion,HUETOR_TAJAR,CS_HUETOR_TAJAR,958 333222,
HUETOR_VEGA,80.80.81.,958 500011,5115,Direccion,HUETOR_VEGA,CS_SIERRA_NEVADA,958 301344,
ILLORA,80.80.82.,958 433926,5116,Direccion,ILLORA,CS_HUETOR_TAJAR,958 333222,
ITRABO,80.80.83.,958 621006,5117,Direccion,ITRABO,CS_COSTA,958 612800,
IZNALLOZ,80.80.84.,958 384051,5118,Direccion,IZNALLOZ,CS_MONTES_ORIENTALES,958 384354,
JAYENA,80.80.85.,958 364079,5119,Direccion,JAYENA,CS_HUETOR_TAJAR,958 333222,
JERES_DEL_MARQUESADO,80.80.88.,958 672103,5120,Direccion,JERES_DEL_MARQUESADO,CS_BENALUA(RIO_FARDES),958 696184,
JETE,80.80.87.,958 645101,5121,Direccion,JETE,CS_COSTA,958 612800,
JUN,80.80.88.,958 414261,5123,Direccion,JUN,CS_ALFACAR,958 549113,
JUVILES,80.80.89.,958 753032,5124,Direccion,JUVILES,CS_ALPUJARRA,958 784439,
CALAHORRA_(LA),80.80.90.,958 677132,5853,Direccion,CALAHORRA_(LA),CS_BENALUA(RIO_FARDES),958 696184,
LACHAR,80.80.91.,958 457005,5125,Direccion,LACHAR,CS_SANTA_FE,958 442487,
LANJARON,80.80.92.,958 700002,5126,Direccion,LANJARON,CS_ALPUJARRA,958 784439,
LANTEIRA,80.80.93.,958 673054,5127,Direccion,LANTEIRA,CS_BENALUA(RIO_FARDES),958 696184,
LECRIN,80.80.94.,958 795002,5128,Direccion,LECRIN,CS_VALLE_DE_LECRIN,958 781143,
LENTEJI,80.80.95.,958 645236,5129,Direccion,LENTEJI,CS_COSTA,958 612800,
LOBRAS,80.80.98.,958 768107,5130,Direccion,LOBRAS,CS_ALPUJARRA,958 784439,
LOJA,80.80.97.,958 321156,5131,Direccion,LOJA,PROPIO,S/N,
LUGROS,80.80.98.,958 674817,5132,Direccion,LUGROS,CS_BENALUA(RIO_FARDES),958 696184,
LUJAR,80.80.99.,958 836031,5133,Direccion,LUJAR,CS_COSTA,958 612800,
MALAHA_(LA),80.80.100.,958 587101,5134,Direccion,MALAHA_(LA),CS_VEGA_TEMPLE,958 574133,
MARACENA,80.80.101.,958 420003,5135,Direccion,MARACENA,PROPIO,S/N,
MARCHAL,80.80.102.,958 690451,5136,Direccion,MARCHAL,CS_BENALUA(RIO_FARDES),958 696184,
MOCLIN,80.80.103.,958 403051,5137,Direccion,MOCLIN,CS_PINOS_PUENTE,958 451524,
MOLVIZAR,80.80.104.,958 626036,5138,Direccion,MOLVIZAR,CS_COSTA,958 612800,
MONACHIL,80.80.105.,958 500301,5139,Direccion,MONACHIL,CS_SIERRA_NEVADA,958 301344,
MONTEFRIO,80.80.108.,958 336136,5140,Direccion,MONTEFRIO,CS_HUETOR_TAJAR,958 333222,
MONTEJICAR,80.80.107.,958 393328,5141,Direccion,MONTEJICAR,CS_MONTES_ORIENTALES,958 384354,
MONTILLANA,80.80.108.,958 392101,5142,Direccion,MONTILLANA,CS_MONTES_ORIENTALES,958 384354,
MORALEDA_DE_ZAFAYONA,80.80.109.,958 443002,5143,Direccion,MORALEDA_DE_ZAFAYONA,CS_HUETOR_TAJAR,958 333222,
MOTRIL,80.80.180.,958 838300,5145,Direccion,MOTRIL,PROPIO,S/N,
MURTAS,80.80.111.,958 855002,5146,Direccion,MURTAS,CS_ALPUJARRA,958 784439,
NIGÜELAS,80.80.112.,958 777607,5148,Direccion,NIGÜELAS,CS_VALLE_DE_LECRIN,958 781143,
NIVAR,80.80.113.,958 428051,5149,Direccion,NIVAR,CS_ALFACAR,958 549113,
OGIJARES,80.80.114.,958 597902,5150,Direccion,OGIJARES,CS_VALLE_DE_LECRIN,958 781143,
ORCE,80.80.115.,958 739101,5151,Direccion,ORCE,CS_NORTE,958 740808,
ORGIVA,80.80.118.,958 785212,5152,Direccion,ORGIVA,CS_ALPUJARRA,958 784439,
OTIVAR,80.80.117.,958 645001,5153,Direccion,OTIVAR,CS_COSTA,958 612800,
OTURA,80.80.118.,958 555101,5154,Direccion,OTURA,CS_VALLE_DE_LECRIN,958 781143,
PADUL,80.80.119.,958 790012,5155,Direccion,PADUL,CS_VALLE_DE_LECRIN,958 781143,
PAMPANEIRA,80.80.120.,958 763001,5156,Direccion,PAMPANEIRA,CS_ALPUJARRA,958 784439,
PEDRO_MARTINEZ,80.80.121.,958 687001,5157,Direccion,PEDRO_MARTINEZ,CS_BENALUA(RIO_FARDES),958 696184,
PELIGROS,80.80.122.,958 400065,5158,Direccion,PELIGROS,CS_VEGAS_ALTAS,958 466062,
ALPUJARRA_DE_LA_SIERRA,80.80.158.,958 851001,5834,Direccion,Cambiame,CS_ALPUJARRA,958 784439,
GABIAS_(LAS),80.80.159.,958 580261,5895,Direccion,Cambiame,CS_VEGA_TEMPLE,958 574133,
GUAJARES_(LOS),80.80.160.,958 629053,5104,Direccion,Cambiame,CS_COSTA,958 612800,
VALLE_DEL_ZALABI,80.80.161.,958 698085,Desconocido,Direccion,Cambiame,CS_BENALUA(RIO_FARDES),958 696184,
VILLAMENA,80.80.162.,958 780301,5194,Direccion,Cambiame,CS_VALLE_DE_LECRIN,958 781143,
MORELABOR,80.80.163.,958 692031,5144,Direccion,Cambiame,CS_BENALUA(RIO_FARDES),958 696184,
PINAR_(EL),80.80.164.,958 793101,5160,Direccion,Cambiame,CS_VALLE_DE_LECRIN,958 781143,
VEGAS_DEL_GENIL,80.80.165.,958 432051,5191,Direccion,Cambiame,CS_VEGA_TEMPLE,958 574133,
CUEVAS_DEL_CAMPO,80.80.168.,958 718051,5874,Direccion,Cambiame,CS_NORTE,958 740808,
ZAGRA,80.80.167.,958 315078,5199,Direccion,Cambiame,CS_HUETOR_TAJAR,958 333222,
PICENA,80.80.168.,958 760038,Desconocido,Direccion,Cambiame,CS_ALPUJARRA,958 784439,
MAIRENA,80.80.169.,958 760115,Desconocido,Direccion,Cambiame,CS_ALPUJARRA,958 784439,
DEHESAS_VIEJAS,80.80.170.,958 385102,Desconocido,Direccion,Cambiame,CS_MONTES_ORIENTALES,958 384354,
DOMINGO-PEREZ,80.80.171.,958 390586,Desconocido,Direccion,Cambiame,CS_MONTES_ORIENTALES,958 384354,
BACOR-OLIVAR,80.80.172.,958 451524,Desconocido,Direccion,Cambiame,CS_PINOS_PUENTE,958 451524,
FORNES,80.80.173.,958 364397,Desconocido,Direccion,Cambiame,CS_HUETOR_TAJAR,958 333222,
JATAR,80.80.174.,958 359036,Desconocido,Direccion,Cambiame,CS_HUETOR_TAJAR,958 333222,
VENTAS_DE_ZAFARRAYA,80.80.175.,958 362560,Desconocido,Direccion,Cambiame,CS_HUETOR_TAJAR,958 333222,
VALDERRUBIO,80.80.178.,958 454932,Desconocido,Direccion,Cambiame,CS_PINOS_PUENTE,958 451524,
TORRENUEVA,80.80.177.,958 655500,Desconocido,Direccion,Cambiame,CS_COSTA,958 612800,
CALAHONDA-CARCHUNA,80.80.178.,958 191004,Desconocido,Direccion,Cambiame,CS_COSTA,958 612800,
CEMCI,80.80.179.,cambiame,Desconocido,Direccion,Cambiame,SEDE,S/N,
EL_TURRO,80.80.180.,958 361074,Desconocido,Direccion,Cambiame,CS_HUETOR_TAJAR,958 333222,
NODOC,80.80.250.,Periodista Barrios Talavera 1,S/N,Direccion,https://goo.gl/maps/fJ3wVSmhPvS6,SEDE,S/N,
