MAC,FABRICANTE
78-71-9C   ,"ARRIS Group, Inc."
78719C     ,"ARRIS Group, Inc."
D4-05-98   ,"ARRIS Group, Inc."
D40598     ,"ARRIS Group, Inc."
94-62-69   ,"ARRIS Group, Inc."
946269,"ARRIS Group, Inc."
8C-7F-3B   ,"ARRIS Group, Inc."
8C7F3B     ,"ARRIS Group, Inc."
D0-39-B3   ,"ARRIS Group, Inc."
D039B3     ,"ARRIS Group, Inc."
00-00-C5   ,"ARRIS Group, Inc."
0000C5     ,"ARRIS Group, Inc."
3C-36-E4   ,"ARRIS Group, Inc."
3C36E4     ,"ARRIS Group, Inc."
00-AC-E0   ,"ARRIS Group, Inc."
00ACE0     ,"ARRIS Group, Inc."
00-03-47   ,Intel Corporation
347,Intel Corporation
00-11-75   ,Intel Corporation
1175,Intel Corporation
00-13-E8   ,Intel Corporate
1300000000,Intel Corporate
00-13-02   ,Intel Corporate
1302,Intel Corporate
E4-F8-9C   ,Intel Corporate
E4F89C     ,Intel Corporate
A4-02-B9   ,Intel Corporate
A402B9     ,Intel Corporate
4C-34-88   ,Intel Corporate
4C3488     ,Intel Corporate
00-0D-0B   ,BUFFALO.INC
000D0B     ,BUFFALO.INC
00-07-40   ,BUFFALO.INC
740,BUFFALO.INC
00-24-A5   ,BUFFALO.INC
0024A5     ,BUFFALO.INC
DC-FB-02   ,BUFFALO.INC
DCFB02     ,BUFFALO.INC
F4-CE-46   ,Hewlett Packard
F4CE46     ,Hewlett Packard
00-1C-C4   ,Hewlett Packard
001CC4     ,Hewlett Packard
00-25-B3   ,Hewlett Packard
0025B3     ,Hewlett Packard
00-18-71   ,Hewlett Packard
1871,Hewlett Packard
00-0B-CD   ,Hewlett Packard
000BCD     ,Hewlett Packard
00-0E-7F   ,Hewlett Packard
000E7F     ,Hewlett Packard
00-0F-20   ,Hewlett Packard
000F20     ,Hewlett Packard
00-11-0A   ,Hewlett Packard
00110A     ,Hewlett Packard
00-13-21   ,Hewlett Packard
1321,Hewlett Packard
00-16-35   ,Hewlett Packard
1635,Hewlett Packard
00-17-A4   ,Hewlett Packard
0017A4     ,Hewlett Packard
36740,Hewlett Packard
802,Hewlett Packard
90-E7-C4   ,HTC Corporation
90E7C4     ,HTC Corporation
00-26-5E   ,"Hon Hai Precision Ind. Co.,Ltd."
00265E     ,"Hon Hai Precision Ind. Co.,Ltd."
00-23-4E   ,"Hon Hai Precision Ind. Co.,Ltd."
00234E     ,"Hon Hai Precision Ind. Co.,Ltd."
00-23-4D   ,"Hon Hai Precision Ind. Co.,Ltd."
00234D     ,"Hon Hai Precision Ind. Co.,Ltd."
74-A7-8E   ,zte corporation
74A78E     ,zte corporation
D8-60-B0   ,bioMérieux Italia S.p.A.
D860B0     ,bioMérieux Italia S.p.A.
80-38-BC   ,"HUAWEI TECHNOLOGIES CO.,LTD"
8038BC     ,"HUAWEI TECHNOLOGIES CO.,LTD"
D4-40-F0   ,"HUAWEI TECHNOLOGIES CO.,LTD"
D440F0     ,"HUAWEI TECHNOLOGIES CO.,LTD"
64-A6-51   ,"HUAWEI TECHNOLOGIES CO.,LTD"
64A651     ,"HUAWEI TECHNOLOGIES CO.,LTD"
E8-CD-2D   ,"HUAWEI TECHNOLOGIES CO.,LTD"
E8CD2D     ,"HUAWEI TECHNOLOGIES CO.,LTD"
AC-E2-15   ,"HUAWEI TECHNOLOGIES CO.,LTD"
ACE215     ,"HUAWEI TECHNOLOGIES CO.,LTD"
EC-23-3D   ,"HUAWEI TECHNOLOGIES CO.,LTD"
EC233D     ,"HUAWEI TECHNOLOGIES CO.,LTD"
78-F5-FD   ,"HUAWEI TECHNOLOGIES CO.,LTD"
78F5FD     ,"HUAWEI TECHNOLOGIES CO.,LTD"
80-B6-86   ,"HUAWEI TECHNOLOGIES CO.,LTD"
80B686     ,"HUAWEI TECHNOLOGIES CO.,LTD"
10-C6-1F   ,"HUAWEI TECHNOLOGIES CO.,LTD"
10C61F     ,"HUAWEI TECHNOLOGIES CO.,LTD"
88-53-D4   ,"HUAWEI TECHNOLOGIES CO.,LTD"
